eng,spa,source,otp
Ulcwoliel,,this language,oltilip
despite; though,,even both,ifenyo
but; and even,,even and,ifenaw
instead; rather,,no and,nyoaw
"us all; _first person plural inclusive_; the speaker, the listener, and possibly others {GENITIVE:all our}",,I you,minpuk
us; _first person plural exclusive_; the speaker and others {GENITIVE:our},,I it,minet
y’all; ye; _second person plural_; the listener and others {GENITIVE:y’all’s; yer},,you it,puket
other; not; anything but,,be no which-(relative),estanyolon
be until; be since; happen from; happen to; OBJ is happening from the present until IND {end date; deadline} {TIME:start date; kickoff},,all be-early,kitcitu
communicate; talk; speak; correspond; SBJ has a two-way interaction with OBJ {interlocutor} about IND {topic; passage} {TIME:conversation; discourse},,say say,titi
declare; say; tell; answer; give information; SBJ {lecturer; professor} tells OBJ {tellee} that IND {fact; opinion; notion; sentence} is true; give information,,. say,sati
ask; interrogate; SBJ {curious; interrogator} asks OBJ {interrogatee} about IND {question},,? say,cuti
tell; implore; command; instruct; lead; SBJ {boss; commander} tells OBJ {instructee} to make IND {command; instruction} happen,,>> say,nati
request; SBJ {requester} politely asks OBJ {requestee} to make IND {request} happen,,please say,panati
exclaim; SBJ {exclaimer} makes an exclamatory utterance of IND {exclamation} to OBJ,,wow say,wati
suggest; advise; recommend; SBJ {advisor; recommender} suggests that OBJ {advisee} do IND {suggestion; advice; recommendation},,should say,ipati
greet; bid hello; salute; SBJ {greeter} says hello to OBJ,,approach say,nitokiti
bid farewell; say goodbye; SBJ bids goodbye to OBJ,,distance say,kulelyanti
praise; celebrate; SBJ {praiser} makes a positive utterance of IND {praised; occasion} to OBJ,,wow want say,wacaiti
complain; denounce; condemn; SBJ {complainer} makes a negative utterance of IND {complaint; denouncee} to OBJ,,wow dislike say,wahauti
consent; approve; SBJ approves of IND to OBJ,,want say,caiti
dissent; disapprove; SBJ disapproves of IND to OBJ,,dislike say,hauti
agree; OBJ agrees with IND,,think be-similar,pensiwale
disagree; OBJ disagrees with IND,,think differ,pensiyato
multiple; plural,,1 more,kanosolon
at all; nonzero,,0 falsehood,nulnyolon
interact; interfere; involve; SBJ makes OBJ interact with IND {INSTRUMENT:interface},,accompany do,pekweki
beI forbidden; beI against the rules; beI illegal; beI prohibited; OBJ is not allowed to make IND {banned} happen,,no must,nyotewi
forbid; pass rules against; prohibit; ban; SBJ {authority} forbids OBJ from making IND happen,,INCOHATIVE OF be forbidden,nyotewiki
may; beI allowed; beI legal; beI permitted; OBJ is allowed to make IND happen,,no not-have-to,nyotewinyo
allow; permit; SBJ permits OBJ to make IND happen,,CESSATIVE OF be forbidden,nyotewinu
glyph; character; letter; grapheme,,write piece,tepaltolon
sound; phoneme,,speak piece,polapaltolon
dictionary,,name list,colonoltolum
alphabet; syllabary {GENITIVE:alphabetical},,glyph list,tepaltolonoltolum
part-of-speech,,name category,colontipalum
onomatopoeia,,can-hear name,oyecolon
verb,,change name,calunyocolon
noun,,thing name,estaloncolon
incohative; inceptive (linguistics),,begin name,kicolon
cessative (linguistics),,end name,nucolon
apostrophe,,be-small path,pelapucolon
slash,,be-square no path,funtanyopucolon
tilde,,be-wavy path,fulopucolon
comma; pause,,be-short wait-period,tapamilalwel
parenthetical; side note,,be-inside phrase,nefwes
design; SBJ {designer} makes OBJ {designed} with the goal of IND {design goal},,try create,ciestaki
province; state; territory; constituent country; sub-polity {GENITIVE:provincial; state; territorial},,be-inside state,nekwelon
international,,much political,muctecak
global; international,,all political,kittecak
conlang; constructed language,,design language,ciestakitilip
auxlang; international auxiliary language,,international language,muctecaktilip
artlang; artistic language,,art language,attilip
succeed; SBJ succeeds at making OBJ happen,,try do,cikweki
mistake; have an accident; SBJ accidentally makes OBJ {mistake; accident} happen,,try no do,cinyokweki
"be correct; be right; OBJ thinks IND to be true, and it is",,yes think,kwepensi
be wrong; be incorrect; OBJ thinks IND {myth} to be true even though it is not,,no think,nyopensi
correct; right; rectify; SBJ corrects OBJ’s view of IND {correction},,INCOHATIVE OF be correct,kwepensiki
decorrect; wrong; SBJ feeds OBJ false information about IND,,INCOHATIVE OF be wrong,nyopensiki
"tell the truth; be honest; SBJ expresses OBJ {the truth; truth}, which they think to be true {AMOUNT:honesty; integrity}",,yes say,kweti
"lie; be dishonest; SBJ expresses OBJ {lie; feint; falsehood}, which they think to be false",,no say,nyoti
trust; find trustworthy; OBJ trusts IND,,tell-the-truth believe,kwetikolwa
mistrust; find untrustworthy; OBJ does not trust IND,,be-dishonest believe,nyotikolwa
intuit; beI intuitive; OBJ intuitively believes IND to be so,,feel believe,swakolwa
achieve; accomplish; complete; SBJ makes OBJ {achiever} achieve IND {accomplished; achieved; completed},,all advance,kitakeki
use internet; go online; signal; SBJ {sender (engineering)} digitally sends IND {packet (engineering)} to OBJ {receiver (engineering)} {INSTRUMENT:socket (engineering)|METHOD:communication protocol; protocol (engineering)},,computer say,komputti
telephone; telegraph,,be-far phone,kuletiluat
mobile phone; cellural phone; cell phone,,move phone,hilatiluat
smart phone; phone,,understand phone,moyetiluat
be feminine; OBJ {woman; girl} is feminine,,female act,fimelaktua
be masculine; OBJ {man; boy} is masculine,,male act,supotaktua
10; ten,10; diez,1 0,kannul
11; eleven,11; once,1 1,kankan
12; twelve,12; doce,1 2,kantos
13; thirteen,13; trece,1 3,kansan
14; fourteen,14; catorce,1 4,kanfol
15; fifteen,15; quince,1 5,kanlim
16; sixteen,16; dieciseis,1 6,kancah
17; seventeen,17; diecisiete,1 7,kanpit
18; eighteen,18; dieciocho,1 8,kanhat
19; nineteen,19; diecinueve,1 9,kanmes
20; twenty,20; veinte,2 0,tosnul
30; thirty,30; treinta,3 0,sannul
40; forty,40; cuarenta,4 0,folnul
50; fifty,50; cincuenta,5 0,limnul
60; sixty,60; sesenta,6 0,cahnul
